 KEGG:hsa00010    Glycolysis / Gluconeogenesis
 REACT:R-HSA-5626467    RHO GTPases activate IQGAPs
 REACT:R-HSA-5626978    TNFR1-mediated ceramide production
 REACT:R-HSA-5627083    RHO GTPases regulate CFTR trafficking
 REACT:R-HSA-5627117    RHO GTPases Activate ROCKs
 REACT:R-HSA-5627123    RHO GTPases activate PAKs
 REACT:R-HSA-5628897    TP53 Regulates Metabolic Genes
 REACT:R-HSA-5632681    Ligand-receptor interactions
 REACT:R-HSA-5632684    Hedgehog 'on' state
 REACT:R-HSA-5633007    Regulation of TP53 Activity
 REACT:R-HSA-5633008    TP53 Regulates Transcription of Cell Death Genes
 REACT:R-HSA-5635838    Activation of SMO
 REACT:R-HSA-5635851    GLI proteins bind promoters of Hh responsive genes to promote transcription
 REACT:R-HSA-5637810    Constitutive Signaling by EGFRvIII
 REACT:R-HSA-5637812    Signaling by EGFRvIII in Cancer
 REACT:R-HSA-5637815    Signaling by Ligand-Responsive EGFR Variants in Cancer
 REACT:R-HSA-5638302    Signaling by Overexpressed Wild-Type EGFR in Cancer
 REACT:R-HSA-5638303    Inhibition of Signaling by Overexpressed EGFR
 REACT:R-HSA-5649702    APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
 REACT:R-HSA-5651801    PCNA-Dependent Long Patch Base Excision Repair
 REACT:R-HSA-5652084    Fructose metabolism
 REACT:R-HSA-5652227    Fructose biosynthesis
 REACT:R-HSA-5653656    Vesicle-mediated transport
 REACT:R-HSA-5653890    Lactose synthesis
 REACT:R-HSA-5654219    Phospholipase C-mediated cascade: FGFR1
 REACT:R-HSA-5654221    Phospholipase C-mediated cascade; FGFR2
 REACT:R-HSA-5654227    Phospholipase C-mediated cascade; FGFR3
 REACT:R-HSA-5654228    Phospholipase C-mediated cascade; FGFR4
 REACT:R-HSA-5654687    Downstream signaling of activated FGFR1
 REACT:R-HSA-5654688    SHC-mediated cascade:FGFR1
 REACT:R-HSA-5654689    PI-3K cascade:FGFR1
 REACT:R-HSA-5654693    FRS-mediated FGFR1 signaling
 REACT:R-HSA-5654695    PI-3K cascade:FGFR2
 REACT:R-HSA-5654696    Downstream signaling of activated FGFR2
 REACT:R-HSA-5654699    SHC-mediated cascade:FGFR2
 REACT:R-HSA-5654700    FRS-mediated FGFR2 signaling
 REACT:R-HSA-5654704    SHC-mediated cascade:FGFR3
 REACT:R-HSA-5654706    FRS-mediated FGFR3 signaling
 REACT:R-HSA-5654708    Downstream signaling of activated FGFR3
 REACT:R-HSA-5654710    PI-3K cascade:FGFR3
 REACT:R-HSA-5654712    FRS-mediated FGFR4 signaling
 REACT:R-HSA-5654716    Downstream signaling of activated FGFR4
 REACT:R-HSA-5654719    SHC-mediated cascade:FGFR4
 REACT:R-HSA-5654720    PI-3K cascade:FGFR4
 REACT:R-HSA-5654726    Negative regulation of FGFR1 signaling
 REACT:R-HSA-5654727    Negative regulation of FGFR2 signaling
 REACT:R-HSA-5654732    Negative regulation of FGFR3 signaling
 REACT:R-HSA-5654733    Negative regulation of FGFR4 signaling
 REACT:R-HSA-5654736    Signaling by FGFR1
 REACT:R-HSA-5654738    Signaling by FGFR2
 REACT:R-HSA-5654741    Signaling by FGFR3
 REACT:R-HSA-5654743    Signaling by FGFR4
 REACT:R-HSA-5655253    Signaling by FGFR2 in disease
 REACT:R-HSA-5655291    Signaling by FGFR4 in disease
 REACT:R-HSA-5655302    Signaling by FGFR1 in disease
 REACT:R-HSA-5655332    Signaling by FGFR3 in disease
 REACT:R-HSA-5655862    Translesion synthesis by POLK
 REACT:R-HSA-5656121    Translesion synthesis by POLI
 REACT:R-HSA-5656169    Termination of translesion DNA synthesis
 REACT:R-HSA-5657655    MGMT-mediated DNA damage reversal
 REACT:R-HSA-5658034    HHAT G278V abrogates palmitoylation of Hh-Np
 REACT:R-HSA-5658442    Regulation of RAS by GAPs
 REACT:R-HSA-5658623    FGFRL1 modulation of FGFR1 signaling
 REACT:R-HSA-5660526    Response to metal ions
 REACT:R-HSA-5660668    CLEC7A/inflammasome pathway
 REACT:R-HSA-5661231    Metallothioneins bind metals
 REACT:R-HSA-5661270    Catabolism of glucuronate to xylulose-5-phosphate
 REACT:R-HSA-5662702    Melanin biosynthesis
 REACT:R-HSA-5663084    Diseases of carbohydrate metabolism
 REACT:R-HSA-5663202    Diseases of signal transduction
 REACT:R-HSA-5663205    Infectious disease
 REACT:R-HSA-5663213    RHO GTPases Activate WASPs and WAVEs
 REACT:R-HSA-5663220    RHO GTPases Activate Formins
 REACT:R-HSA-5666185    RHO GTPases Activate Rhotekin and Rhophilins
 REACT:R-HSA-5668541    TNFR2 non-canonical NF-kB pathway
 REACT:R-HSA-5668599    RHO GTPases Activate NADPH Oxidases
 REACT:R-HSA-5668914    Diseases of metabolism
 REACT:R-HSA-5669034    TNFs bind their physiological receptors
 REACT:R-HSA-5673000    RAF activation
 REACT:R-HSA-5673001    RAF/MAP kinase cascade
 REACT:R-HSA-5674135    MAP2K and MAPK activation
 REACT:R-HSA-5674400    Constitutive Signaling by AKT1 E17K in Cancer
 REACT:R-HSA-5674499    Negative feedback regulation of MAPK pathway
 REACT:R-HSA-5675221    Negative regulation of MAPK pathway
 REACT:R-HSA-5675482    Regulation of necroptotic cell death
 REACT:R-HSA-5676590    NIK-->noncanonical NF-kB signaling
 REACT:R-HSA-5676594    TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
 REACT:R-HSA-5676934    Protein repair
 REACT:R-HSA-5678895    Defective CFTR causes cystic fibrosis
 REACT:R-HSA-5682910    LGI-ADAM interactions
 REACT:R-HSA-5683057    MAPK family signaling cascades
 REACT:R-HSA-5683177    Defective ABCC8 can cause hypoglycemias and hyperglycemias
 REACT:R-HSA-5683678    Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3)
 REACT:R-HSA-5683826    Surfactant metabolism
 REACT:R-HSA-5684264    MAP3K8 (TPL2)-dependent MAPK1/3 activation
 REACT:R-HSA-5684996    MAPK1/MAPK3 signaling
 REACT:R-HSA-5685938    HDR through Single Strand Annealing (SSA)
 REACT:R-HSA-5685939    HDR through MMEJ (alt-NHEJ)
 REACT:R-HSA-5685942    HDR through Homologous Recombination (HRR)
 REACT:R-HSA-5686938    Regulation of TLR by endogenous ligand
 REACT:R-HSA-5687128    MAPK6/MAPK4 signaling
 REACT:R-HSA-5687613    Diseases associated with surfactant metabolism
 REACT:R-HSA-5687868    Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF)
 REACT:R-HSA-5688031    Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)
 REACT:R-HSA-5688354    Defective pro-SFTPC causes pulmonary surfactant metabolism dysfunction 2 (SMDP2) and respiratory distress syndrome (RDS)
 REACT:R-HSA-5688426    Deubiquitination
 REACT:R-HSA-5688849    Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)
 REACT:R-HSA-5688890    Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)
 REACT:R-HSA-5689603    UCH proteinases
 REACT:R-HSA-5689877    Josephin domain DUBs
 REACT:R-HSA-5689880    Ub-specific processing proteases
 REACT:R-HSA-5689896    Ovarian tumor domain proteases
 REACT:R-HSA-5689901    Metalloprotease DUBs
 REACT:R-HSA-5690714    CD22 mediated BCR regulation
 REACT:R-HSA-5693532    DNA Double-Strand Break Repair
 REACT:R-HSA-5693537    Resolution of D-Loop Structures
 REACT:R-HSA-5693538    Homology Directed Repair
 REACT:R-HSA-5693548    Sensing of DNA Double Strand Breaks
 REACT:R-HSA-5693554    Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
 REACT:R-HSA-5693565    Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
 REACT:R-HSA-5693567    HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)
 REACT:R-HSA-5693568    Resolution of D-loop Structures through Holliday Junction Intermediates
 REACT:R-HSA-5693571    Nonhomologous End-Joining (NHEJ)
 REACT:R-HSA-5693579    Homologous DNA Pairing and Strand Exchange
 REACT:R-HSA-5693606    DNA Double Strand Break Response
 REACT:R-HSA-5693607    Processing of DNA double-strand break ends
 REACT:R-HSA-5693616    Presynaptic phase of homologous DNA pairing and strand exchange
 REACT:R-HSA-5694530    Cargo concentration in the ER
 REACT:R-HSA-5696394    DNA Damage Recognition in GG-NER
 REACT:R-HSA-5696395    Formation of Incision Complex in GG-NER
 REACT:R-HSA-5696397    Gap-filling DNA repair synthesis and ligation in GG-NER
 REACT:R-HSA-5696398    Nucleotide Excision Repair
 REACT:R-HSA-5696399    Global Genome Nucleotide Excision Repair (GG-NER)
 REACT:R-HSA-5696400    Dual Incision in GG-NER
 REACT:R-HSA-597592    Post-translational protein modification
 REACT:R-HSA-606279    Deposition of new CENPA-containing nucleosomes at the centromere
 REACT:R-HSA-611105    Respiratory electron transport
 REACT:R-HSA-622312    Inflammasomes
 REACT:R-HSA-622323    Presynaptic nicotinic acetylcholine receptors
 REACT:R-HSA-622327    Postsynaptic nicotinic acetylcholine receptors
 REACT:R-HSA-629587    Highly sodium permeable acetylcholine nicotinic receptors
 REACT:R-HSA-629594    Highly calcium permeable postsynaptic nicotinic acetylcholine receptors
 REACT:R-HSA-629597    Highly calcium permeable nicotinic acetylcholine receptors
 REACT:R-HSA-629602    Activation of Nicotinic Acetylcholine Receptors
 REACT:R-HSA-674695    RNA Polymerase II Pre-transcription Events
 REACT:R-HSA-6781823    Formation of TC-NER Pre-Incision Complex
 REACT:R-HSA-6781827    Transcription-Coupled Nucleotide Excision Repair (TC-NER)
 REACT:R-HSA-6782135    Dual incision in TC-NER
 REACT:R-HSA-6782210    Gap-filling DNA repair synthesis and ligation in TC-NER
 REACT:R-HSA-6782315    tRNA modification in the nucleus and cytosol
 REACT:R-HSA-6782861    Synthesis of wybutosine at G37 of tRNA(Phe)
 REACT:R-HSA-6783310    Fanconi Anemia Pathway
 REACT:R-HSA-6783589    Interleukin-6 family signaling
 REACT:R-HSA-6783783    Interleukin-10 signaling
 REACT:R-HSA-6783984    Glycine degradation
 REACT:R-HSA-6784531    tRNA processing in the nucleus
 REACT:R-HSA-6785470    tRNA processing in the mitochondrion
 REACT:R-HSA-6785631    ERBB2 Regulates Cell Motility
 REACT:R-HSA-6785807    Interleukin-4 and 13 signaling
 REACT:R-HSA-6787450    tRNA modification in the mitochondrion
 REACT:R-HSA-6787639    GDP-fucose biosynthesis
 REACT:R-HSA-6788467    IL-6-type cytokine receptor ligand interactions
 REACT:R-HSA-6788656    "Histidine  lysine  phenylalanine  tyrosine  proline and tryptophan catabolism"
 REACT:R-HSA-6790901    rRNA modification in the nucleus and cytosol
 REACT:R-HSA-6791226    Major pathway of rRNA processing in the nucleolus and cytosol
 REACT:R-HSA-6791312    TP53 Regulates Transcription of Cell Cycle Genes
 REACT:R-HSA-6793080    rRNA modification in the mitochondrion
 REACT:R-HSA-6794361    Interactions of neurexins and neuroligins at synapses
 REACT:R-HSA-6794362    Protein-protein interactions at synapses
 REACT:R-HSA-6796648    TP53 Regulates Transcription of DNA Repair Genes
 REACT:R-HSA-6798163    Choline catabolism
 REACT:R-HSA-6798695    Neutrophil degranulation
 REACT:R-HSA-6799198    Complex I biogenesis
 REACT:R-HSA-6799990    Metal sequestration by antimicrobial proteins
 REACT:R-HSA-6802946    Signaling by moderate kinase activity BRAF mutants
 REACT:R-HSA-6802948    Signaling by high-kinase activity BRAF mutants
 REACT:R-HSA-6802949    Signaling by RAS mutants
 REACT:R-HSA-6802952    Signaling by BRAF and RAF fusions
 REACT:R-HSA-6802953    RAS signaling downstream of NF1 loss-of-function variants
 REACT:R-HSA-6802955    Paradoxical activation of RAF signaling by kinase inactive BRAF
 REACT:R-HSA-6802957    Oncogenic MAPK signaling
 REACT:R-HSA-6803157    Antimicrobial peptides
 REACT:R-HSA-6803204    TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
 REACT:R-HSA-6803205    TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
 REACT:R-HSA-6803207    TP53 Regulates Transcription of Caspase Activators and Caspases
 REACT:R-HSA-6803211    TP53 Regulates Transcription of Death Receptors and Ligands
 REACT:R-HSA-6803529    FGFR2 alternative splicing
 REACT:R-HSA-6803544    Ion influx/efflux at host-pathogen interface
 REACT:R-HSA-6804114    TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
 REACT:R-HSA-6804115    TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain
 REACT:R-HSA-6804116    TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
 REACT:R-HSA-6804754    Regulation of TP53 Expression
 REACT:R-HSA-6804756    Regulation of TP53 Activity through Phosphorylation
 REACT:R-HSA-6804757    Regulation of TP53 Degradation
 REACT:R-HSA-6804758    Regulation of TP53 Activity through Acetylation
 REACT:R-HSA-6804759    Regulation of TP53 Activity through Association with Co-factors
 REACT:R-HSA-6804760    Regulation of TP53 Activity through Methylation
 REACT:R-HSA-6805567    Keratinization
 REACT:R-HSA-6806003    Regulation of TP53 Expression and Degradation
 REACT:R-HSA-6806664    Metabolism of vitamin K
 REACT:R-HSA-6806667    Metabolism of fat-soluble vitamins
 REACT:R-HSA-6806834    Signaling by MET
 REACT:R-HSA-6806942    MET Receptor Activation
 REACT:R-HSA-6807004    Negative regulation of MET activity
 REACT:R-HSA-6807047    Cholesterol biosynthesis via desmosterol
 REACT:R-HSA-6807062    Cholesterol biosynthesis via lathosterol
 REACT:R-HSA-6807505    RNA polymerase II transcribes snRNA genes
 REACT:R-HSA-6807878    COPI-mediated anterograde transport
 REACT:R-HSA-6809371    Formation of the cornified envelope
 REACT:R-HSA-6809583    Retinoid metabolism disease events
 REACT:R-HSA-6811434    COPI-dependent Golgi-to-ER retrograde traffic
 REACT:R-HSA-6811436    COPI-independent Golgi-to-ER retrograde traffic
 REACT:R-HSA-6811438    Intra-Golgi traffic
 REACT:R-HSA-6811440    Retrograde transport at the Trans-Golgi-Network
 REACT:R-HSA-6811442    Intra-Golgi and retrograde Golgi-to-ER traffic
 REACT:R-HSA-6811555    PI5P Regulates TP53 Acetylation
 REACT:R-HSA-6811558    "PI5P  PP2A and IER3 Regulate PI3K/AKT Signaling"
 REACT:R-HSA-6814122    Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding
 REACT:R-HSA-6814848    Glycerophospholipid catabolism
 REACT:R-HSA-68616    Assembly of the ORC complex at the origin of replication
 REACT:R-HSA-68689    CDC6 association with the ORC:origin complex
 REACT:R-HSA-68827    CDT1 association with the CDC6:ORC:origin complex
 REACT:R-HSA-68867    Assembly of the pre-replicative complex
 REACT:R-HSA-68874    M/G1 Transition
 REACT:R-HSA-68875    Mitotic Prophase
 REACT:R-HSA-68877    Mitotic Prometaphase
 REACT:R-HSA-68881    Mitotic Metaphase/Anaphase Transition
 REACT:R-HSA-68882    Mitotic Anaphase
 REACT:R-HSA-68884    Mitotic Telophase/Cytokinesis
 REACT:R-HSA-68886    M Phase
 REACT:R-HSA-68911    G2 Phase
 REACT:R-HSA-68949    Orc1 removal from chromatin
 REACT:R-HSA-68952    DNA replication initiation
 REACT:R-HSA-68962    Activation of the pre-replicative complex
 REACT:R-HSA-69002    DNA Replication Pre-Initiation
 REACT:R-HSA-69017    CDK-mediated phosphorylation and removal of Cdc6
 REACT:R-HSA-69052    Switching of origins to a post-replicative state
 REACT:R-HSA-69091    Polymerase switching
 REACT:R-HSA-69109    Leading Strand Synthesis
 REACT:R-HSA-69166    Removal of the Flap Intermediate
 REACT:R-HSA-69183    Processive synthesis on the lagging strand
 REACT:R-HSA-69186    Lagging Strand Synthesis
 REACT:R-HSA-69190    DNA strand elongation
 REACT:R-HSA-69200    Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
 REACT:R-HSA-69202    Cyclin E associated events during G1/S transition
 REACT:R-HSA-69205    G1/S-Specific Transcription
 REACT:R-HSA-69206    G1/S Transition
 REACT:R-HSA-69229    Ubiquitin-dependent degradation of Cyclin D1
 REACT:R-HSA-69231    Cyclin D associated events in G1
 REACT:R-HSA-69236    G1 Phase
 REACT:R-HSA-69239    Synthesis of DNA
 REACT:R-HSA-69242    S Phase
 REACT:R-HSA-69273    Cyclin A/B1 associated events during G2/M transition
 REACT:R-HSA-69275    G2/M Transition
 REACT:R-HSA-69278    "Cell Cycle  Mitotic"
 REACT:R-HSA-69298    Association of licensing factors with the pre-replicative complex
 REACT:R-HSA-69300    Removal of licensing factors from origins
 REACT:R-HSA-69304    Regulation of DNA replication
 REACT:R-HSA-69306    DNA Replication
 REACT:R-HSA-69416    Dimerization of procaspase-8
 REACT:R-HSA-69473    G2/M DNA damage checkpoint
 REACT:R-HSA-69478    G2/M DNA replication checkpoint
 REACT:R-HSA-69481    G2/M Checkpoints
 REACT:R-HSA-69541    Stabilization of p53
 REACT:R-HSA-69560    Transcriptional activation of p53 responsive genes
 REACT:R-HSA-69563    p53-Dependent G1 DNA Damage Response
 REACT:R-HSA-69580    p53-Dependent G1/S DNA damage checkpoint
 REACT:R-HSA-69601    Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
 REACT:R-HSA-69610    p53-Independent DNA Damage Response
 REACT:R-HSA-69613    p53-Independent G1/S DNA damage checkpoint
 REACT:R-HSA-69615    G1/S DNA Damage Checkpoints
 REACT:R-HSA-69618    Mitotic Spindle Checkpoint
 REACT:R-HSA-69620    Cell Cycle Checkpoints
 REACT:R-HSA-69656    Cyclin A:Cdk2-associated events at S phase entry
 REACT:R-HSA-69895    Transcriptional  activation of  cell cycle inhibitor p21
 REACT:R-HSA-70153    Glucose transport
 REACT:R-HSA-70171    Glycolysis
 REACT:R-HSA-70221    Glycogen breakdown (glycogenolysis)
 REACT:R-HSA-70263    Gluconeogenesis
 REACT:R-HSA-70268    Pyruvate metabolism
 REACT:R-HSA-70326    Glucose metabolism
 REACT:R-HSA-70350    Fructose catabolism
 REACT:R-HSA-70370    Galactose catabolism
 REACT:R-HSA-70614    Amino acid synthesis and interconversion (transamination)
 REACT:R-HSA-70635    Urea cycle
 REACT:R-HSA-70688    Proline catabolism
 REACT:R-HSA-70895    Branched-chain amino acid catabolism
 REACT:R-HSA-70921    Histidine catabolism
 REACT:R-HSA-71032    Propionyl-CoA catabolism
 REACT:R-HSA-71064    Lysine catabolism
 REACT:R-HSA-71182    Phenylalanine and tyrosine catabolism
 REACT:R-HSA-71240    Tryptophan catabolism
 REACT:R-HSA-71262    Carnitine synthesis
 REACT:R-HSA-71288    Creatine metabolism
 REACT:R-HSA-71291    Metabolism of amino acids and derivatives
 REACT:R-HSA-71336    Pentose phosphate pathway (hexose monophosphate shunt)
 REACT:R-HSA-71384    Ethanol oxidation
 REACT:R-HSA-71387    Metabolism of carbohydrates
 REACT:R-HSA-71403    Citric acid cycle (TCA cycle)
 REACT:R-HSA-71406    Pyruvate metabolism and Citric Acid (TCA) cycle
 REACT:R-HSA-71737    Pyrophosphate hydrolysis
 REACT:R-HSA-72086    mRNA Capping
 REACT:R-HSA-72163    mRNA Splicing - Major Pathway
 REACT:R-HSA-72165    mRNA Splicing - Minor Pathway
 REACT:R-HSA-72172    mRNA Splicing
 REACT:R-HSA-72187    mRNA 3'-end processing
 REACT:R-HSA-72200    mRNA Editing: C to U Conversion
 REACT:R-HSA-72202    Transport of Mature Transcript to Cytoplasm
 REACT:R-HSA-72203    Processing of Capped Intron-Containing Pre-mRNA
 REACT:R-HSA-72306    tRNA processing
 REACT:R-HSA-72312    rRNA processing
 REACT:R-HSA-72613    Eukaryotic Translation Initiation
 REACT:R-HSA-72649    Translation initiation complex formation
 REACT:R-HSA-72662    "Activation of the mRNA upon binding of the cap-binding complex and eIFs  and subsequent binding to 43S"
 REACT:R-HSA-72689    Formation of a pool of free 40S subunits
 REACT:R-HSA-72695    "Formation of the ternary complex  and subsequently  the 43S complex"
 REACT:R-HSA-72702    Ribosomal scanning and start codon recognition
 REACT:R-HSA-72706    GTP hydrolysis and joining of the 60S ribosomal subunit
 REACT:R-HSA-72731    Recycling of eIF2:GDP
 REACT:R-HSA-72737    Cap-dependent Translation Initiation
 REACT:R-HSA-72764    Eukaryotic Translation Termination
 REACT:R-HSA-72766    Translation
 REACT:R-HSA-727802    Transport of nucleotide sugars
 REACT:R-HSA-73614    Pyrimidine salvage reactions
 REACT:R-HSA-73621    Pyrimidine catabolism
 REACT:R-HSA-73728    RNA Polymerase I Promoter Opening
 REACT:R-HSA-73762    RNA Polymerase I Transcription Initiation
 REACT:R-HSA-73772    RNA Polymerase I Promoter Escape
 REACT:R-HSA-73776    RNA Polymerase II Promoter Escape
 REACT:R-HSA-73777    RNA Polymerase I Chain Elongation
 REACT:R-HSA-73779    RNA Polymerase II Transcription Pre-Initiation And Promoter Opening
 REACT:R-HSA-73780    RNA Polymerase III Chain Elongation
 REACT:R-HSA-73817    Purine ribonucleoside monophosphate biosynthesis
 REACT:R-HSA-73843    5-Phosphoribose 1-diphosphate biosynthesis
 REACT:R-HSA-73847    Purine metabolism
 REACT:R-HSA-73848    Pyrimidine metabolism
 REACT:R-HSA-73854    RNA Polymerase I Promoter Clearance
 REACT:R-HSA-73856    RNA Polymerase II Transcription Termination
 REACT:R-HSA-73857    RNA Polymerase II Transcription
 REACT:R-HSA-73863    RNA Polymerase I Transcription Termination
 REACT:R-HSA-73864    RNA Polymerase I Transcription
 REACT:R-HSA-73884    Base Excision Repair
 REACT:R-HSA-73886    Chromosome Maintenance
 REACT:R-HSA-73887    Death Receptor Signalling
 REACT:R-HSA-73893    DNA Damage Bypass
 REACT:R-HSA-73894    DNA Repair
 REACT:R-HSA-73923    "Lipid digestion  mobilization  and transport"
 REACT:R-HSA-73927    Depurination
 REACT:R-HSA-73928    Depyrimidination
 REACT:R-HSA-73929    "Base-Excision Repair  AP Site Formation"
 REACT:R-HSA-73930    Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
 REACT:R-HSA-73933    Resolution of Abasic Sites (AP sites)
 REACT:R-HSA-73942    DNA Damage Reversal
 REACT:R-HSA-73943    Reversal of alkylation damage by DNA dioxygenases
 REACT:R-HSA-73980    RNA Polymerase III Transcription Termination
 REACT:R-HSA-74158    RNA Polymerase III Transcription
 REACT:R-HSA-74160    Gene Expression
 REACT:R-HSA-74182    Ketone body metabolism
 REACT:R-HSA-74217    Purine salvage
 REACT:R-HSA-74259    Purine catabolism
 REACT:R-HSA-74713    IRS activation
 REACT:R-HSA-74749    Signal attenuation
 REACT:R-HSA-74751    Insulin receptor signalling cascade
 REACT:R-HSA-74752    Signaling by Insulin receptor
 REACT:R-HSA-749476    RNA Polymerase III Abortive And Retractive Initiation
 REACT:R-HSA-75035    Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
 REACT:R-HSA-75064    mRNA Editing: A to I Conversion
 REACT:R-HSA-75067    Processing of Capped Intronless Pre-mRNA
 REACT:R-HSA-75072    mRNA Editing
 REACT:R-HSA-75094    Formation of the Editosome
 REACT:R-HSA-75102    C6 deamination of adenosine
 REACT:R-HSA-75105    Fatty Acyl-CoA Biosynthesis
 REACT:R-HSA-75108    "Activation  myristolyation of BID and translocation to mitochondria"
 REACT:R-HSA-75109    Triglyceride Biosynthesis
 REACT:R-HSA-75153    Apoptotic execution  phase
 REACT:R-HSA-75157    FasL/ CD95L signaling
 REACT:R-HSA-75158    TRAIL  signaling
 REACT:R-HSA-75205    Dissolution of Fibrin Clot
 REACT:R-HSA-75815    Ubiquitin-dependent degradation of Cyclin D
 REACT:R-HSA-75876    Synthesis of very long-chain fatty acyl-CoAs
 REACT:R-HSA-75892    Platelet Adhesion to exposed collagen
 REACT:R-HSA-75893    TNF signaling
 REACT:R-HSA-75896    Plasmalogen biosynthesis
 REACT:R-HSA-75944    Transcription from mitochondrial promoters
 REACT:R-HSA-75953    RNA Polymerase II Transcription Initiation
 REACT:R-HSA-75955    RNA Polymerase II Transcription Elongation
 REACT:R-HSA-76002    "Platelet activation  signaling and aggregation"
 REACT:R-HSA-76005    Response to elevated platelet cytosolic Ca2+
 REACT:R-HSA-76009    Platelet Aggregation (Plug Formation)
 REACT:R-HSA-76042    RNA Polymerase II Transcription Initiation And Promoter Clearance
 REACT:R-HSA-76046    RNA Polymerase III Transcription Initiation
 REACT:R-HSA-76061    RNA Polymerase III Transcription Initiation From Type 1 Promoter
 REACT:R-HSA-76066    RNA Polymerase III Transcription Initiation From Type 2 Promoter
 REACT:R-HSA-76071    RNA Polymerase III Transcription Initiation From Type 3 Promoter
 REACT:R-HSA-77042    Formation of editosomes by ADAR proteins
 REACT:R-HSA-77075    RNA Pol II CTD phosphorylation and interaction with CE
 REACT:R-HSA-77108    Utilization of Ketone Bodies
 REACT:R-HSA-77111    Synthesis of Ketone Bodies
 REACT:R-HSA-77285    Beta oxidation of myristoyl-CoA to lauroyl-CoA
 REACT:R-HSA-77286    mitochondrial fatty acid beta-oxidation of saturated fatty acids
 REACT:R-HSA-77288    mitochondrial fatty acid beta-oxidation of unsaturated fatty acids
 REACT:R-HSA-77289    Mitochondrial Fatty Acid Beta-Oxidation
 REACT:R-HSA-77305    Beta oxidation of palmitoyl-CoA to myristoyl-CoA
 REACT:R-HSA-77310    Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
 REACT:R-HSA-77346    Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
 REACT:R-HSA-77348    Beta oxidation of octanoyl-CoA to hexanoyl-CoA
 REACT:R-HSA-77350    Beta oxidation of hexanoyl-CoA to butanoyl-CoA
 REACT:R-HSA-77352    Beta oxidation of butanoyl-CoA to acetyl-CoA
 REACT:R-HSA-77387    Insulin receptor recycling
 REACT:R-HSA-774815    Nucleosome assembly
 REACT:R-HSA-77588    SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs
 REACT:R-HSA-77595    Processing of Intronless Pre-mRNAs
 REACT:R-HSA-804914    Transport of fatty acids
 REACT:R-HSA-83936    Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane
 REACT:R-HSA-844455    The NLRP1 inflammasome
 REACT:R-HSA-844456    The NLRP3 inflammasome
 REACT:R-HSA-844615    The AIM2 inflammasome
 REACT:R-HSA-844623    The IPAF inflammasome
 REACT:R-HSA-877300    Interferon gamma signaling
 REACT:R-HSA-877312    Regulation of IFNG signaling
 REACT:R-HSA-879415    Advanced glycosylation endproduct receptor signaling
 REACT:R-HSA-879518    Transport of organic anions
 REACT:R-HSA-880009    Interconversion of 2-oxoglutarate and 2-hydroxyglutarate
 REACT:R-HSA-881907    Gastrin-CREB signalling pathway via PKC and MAPK
 REACT:R-HSA-8847453    Synthesis of PIPs in the nucleus
 REACT:R-HSA-8847993    ERBB2 Activates PTK6 Signaling
 REACT:R-HSA-8848021    Signaling by PTK6
 REACT:R-HSA-8848584    Wax biosynthesis
 REACT:R-HSA-8849175    Threonine catabolism
 REACT:R-HSA-8849468    PTK6 Regulates Proteins Involved in RNA Processing
 REACT:R-HSA-8849469    PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
 REACT:R-HSA-8849470    PTK6 Regulates Cell Cycle
 REACT:R-HSA-8849471    "PTK6 Regulates RHO GTPases  RAS GTPase and MAP kinases"
 REACT:R-HSA-8849472    PTK6 Down-Regulation
 REACT:R-HSA-8849473    PTK6 Expression
 REACT:R-HSA-8849474    PTK6 Activates STAT3
 REACT:R-HSA-8849932    SALM protein interactions at the synapses
 REACT:R-HSA-8850843    Phosphate bond hydrolysis by NTPDase proteins
 REACT:R-HSA-8851680    Butyrophilin (BTN) family interactions
