39.723 number of GO processes
16.6302 GO:0007601	 visual perception
4.02113 GO:0043691	 reverse cholesterol transport
4.02113 GO:0030902	 hindbrain development
4.02113 GO:0019229	 regulation of vasoconstriction
4.02113 GO:0007292	 female gamete generation
4.01831 GO:0030225	 macrophage differentiation
4.01831 GO:0010033	 response to organic substance
4.01831 GO:0007422	 peripheral nervous system development
4.01768 GO:0034097	 response to cytokine
4.01768 GO:0019233	 sensory perception of pain
3.99888 GO:0097264	 self proteolysis
3.99888 GO:0097186	 amelogenesis
3.99888 GO:0042053	 regulation of dopamine metabolic process
3.99888 GO:0034101	 erythrocyte homeostasis
3.99888 GO:0031639	 plasminogen activation
3.99888 GO:0030299	 intestinal cholesterol absorption
3.99888 GO:0015670	 carbon dioxide transport
3.99888 GO:0006264	 mitochondrial DNA replication
3.99888 GO:0003300	 cardiac muscle hypertrophy
3.99888 GO:0003197	 endocardial cushion development
3.99888 GO:0000722	 telomere maintenance via recombination
3.99888 GO:0000002	 mitochondrial genome maintenance
3.99235 GO:0097435	 supramolecular fiber organization
3.99235 GO:0097049	 motor neuron apoptotic process
3.99235 GO:0061036	 positive regulation of cartilage development
3.99235 GO:0032502	 developmental process
3.99235 GO:0010765	 positive regulation of sodium ion transport
3.99235 GO:0002063	 chondrocyte development
3.99235 GO:0001833	 inner cell mass cell proliferation
3.9901 GO:0045663	 positive regulation of myoblast differentiation
3.9827 GO:0032731	 positive regulation of interleukin-1 beta production
3.9827 GO:0030163	 protein catabolic process
3.9827 GO:0006869	 lipid transport
3.98131 GO:0070848	 response to growth factor
3.98131 GO:0062009	 secondary palate development
3.98131 GO:0060416	 response to growth hormone
3.98131 GO:0035518	 histone H2A monoubiquitination
3.98131 GO:0035108	 limb morphogenesis
3.98131 GO:0032026	 response to magnesium ion
3.98131 GO:0008406	 gonad development
3.98131 GO:0008206	 bile acid metabolic process
3.98114 GO:0046513	 ceramide biosynthetic process
3.98114 GO:0043536	 positive regulation of blood vessel endothelial cell migration
3.98114 GO:0007281	 germ cell development
3.98114 GO:0006641	 triglyceride metabolic process
3.98114 GO:0003281	 ventricular septum development
3.97204 GO:0097191	 extrinsic apoptotic signaling pathway
3.95016 GO:0060155	 platelet dense granule organization
3.95016 GO:0051924	 regulation of calcium ion transport
3.95016 GO:0043200	 response to amino acid
3.95016 GO:0035094	 response to nicotine
3.95016 GO:0018149	 peptide cross-linking
3.95016 GO:0006883	 cellular sodium ion homeostasis
3.95016 GO:0002092	 positive regulation of receptor internalization
3.93492 GO:0032722	 positive regulation of chemokine production
3.90749 GO:2000781	 positive regulation of double-strand break repair
3.90749 GO:0050890	 cognition
3.90749 GO:0050796	 regulation of insulin secretion
3.90749 GO:0045429	 positive regulation of nitric oxide biosynthetic process
3.904 GO:0046326	 positive regulation of glucose import
3.904 GO:0045840	 positive regulation of mitotic nuclear division
3.90093 GO:0042127	 regulation of cell population proliferation
3.89454 GO:0045333	 cellular respiration
3.89193 GO:0007160	 cell-matrix adhesion
3.88812 GO:0007519	 skeletal muscle tissue development
3.88367 GO:0010839	 negative regulation of keratinocyte proliferation
3.87434 GO:0006631	 fatty acid metabolic process
3.87066 GO:0002244	 hematopoietic progenitor cell differentiation
3.85836 GO:1990787	 negative regulation of hh target transcription factor activity
3.85836 GO:1905007	 positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation
3.85836 GO:1904515	 positive regulation of TORC2 signaling
3.85836 GO:1903416	 response to glycoside
3.85836 GO:0097113	 AMPA glutamate receptor clustering
3.85836 GO:0097070	 ductus arteriosus closure
3.85836 GO:0090131	 mesenchyme migration
3.85836 GO:0086046	 membrane depolarization during SA node cell action potential
3.85836 GO:0086045	 membrane depolarization during AV node cell action potential
3.85836 GO:0086015	 SA node cell action potential
3.85836 GO:0071910	 determination of liver left/right asymmetry
3.85836 GO:0071599	 otic vesicle development
3.85836 GO:0071242	 cellular response to ammonium ion
3.85836 GO:0061304	 retinal blood vessel morphogenesis
3.85836 GO:0061037	 negative regulation of cartilage development
3.85836 GO:0060129	 thyroid-stimulating hormone-secreting cell differentiation
3.85836 GO:0051900	 regulation of mitochondrial depolarization
3.85836 GO:0051597	 response to methylmercury
3.85836 GO:0050953	 sensory perception of light stimulus
3.85836 GO:0046601	 positive regulation of centriole replication
3.85836 GO:0042159	 lipoprotein catabolic process
3.85836 GO:0038110	 interleukin-2-mediated signaling pathway
3.85836 GO:0032264	 IMP salvage
3.85836 GO:0031133	 regulation of axon diameter
3.85836 GO:0019348	 dolichol metabolic process
3.85836 GO:0016254	 preassembly of GPI anchor in ER membrane
3.85836 GO:0016199	 axon midline choice point recognition
3.85836 GO:0007006	 mitochondrial membrane organization
3.85836 GO:0006121	 mitochondrial electron transport, succinate to ubiquinone
3.85836 GO:0006116	 NADH oxidation
3.85836 GO:0003289	 atrial septum primum morphogenesis
3.85836 GO:0002360	 T cell lineage commitment
3.85836 GO:0002326	 B cell lineage commitment
3.85836 GO:0002320	 lymphoid progenitor cell differentiation
3.85836 GO:0000303	 response to superoxide
3.85041 GO:1904646	 cellular response to amyloid-beta
3.85041 GO:0031667	 response to nutrient levels
3.846 GO:0018107	 peptidyl-threonine phosphorylation
3.82705 GO:0030334	 regulation of cell migration
3.82635 GO:0051881	 regulation of mitochondrial membrane potential
3.82635 GO:0043552	 positive regulation of phosphatidylinositol 3-kinase activity
3.82635 GO:0043085	 positive regulation of catalytic activity
3.82635 GO:0010043	 response to zinc ion
3.82635 GO:0005977	 glycogen metabolic process
3.82491 GO:0010977	 negative regulation of neuron projection development
3.82324 GO:0048488	 synaptic vesicle endocytosis
3.81984 GO:1903076	 regulation of protein localization to plasma membrane
3.81984 GO:1901214	 regulation of neuron death
3.81984 GO:0061028	 establishment of endothelial barrier
3.81984 GO:0045861	 negative regulation of proteolysis
3.81984 GO:0038061	 NIK/NF-kappaB signaling
3.81984 GO:0033617	 mitochondrial cytochrome c oxidase assembly
3.81984 GO:0032930	 positive regulation of superoxide anion generation
3.81984 GO:0030279	 negative regulation of ossification
3.81984 GO:0016125	 sterol metabolic process
3.81984 GO:0008045	 motor neuron axon guidance
3.81839 GO:0000226	 microtubule cytoskeleton organization
3.81207 GO:2001234	 negative regulation of apoptotic signaling pathway
3.81207 GO:0046907	 intracellular transport
3.81207 GO:0046677	 response to antibiotic
3.81207 GO:0031100	 animal organ regeneration
3.78548 GO:0071300	 cellular response to retinoic acid
3.78548 GO:0045785	 positive regulation of cell adhesion
3.77887 GO:0150104	 transport across blood-brain barrier
3.76406 GO:0045747	 positive regulation of Notch signaling pathway
3.7618 GO:0050714	 positive regulation of protein secretion
3.76086 GO:0000281	 mitotic cytokinesis
3.76018 GO:0050850	 positive regulation of calcium-mediated signaling
3.76018 GO:0042474	 middle ear morphogenesis
3.76018 GO:0042462	 eye photoreceptor cell development
3.76018 GO:0038083	 peptidyl-tyrosine autophosphorylation
3.76018 GO:0032331	 negative regulation of chondrocyte differentiation
3.76018 GO:0010460	 positive regulation of heart rate
3.76018 GO:0007097	 nuclear migration
3.76018 GO:0006977	 DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
3.76018 GO:0006337	 nucleosome disassembly
3.76018 GO:0001709	 cell fate determination
3.74842 GO:0070316	 regulation of G0 to G1 transition
3.74842 GO:0045879	 negative regulation of smoothened signaling pathway
3.74842 GO:0033574	 response to testosterone
3.74842 GO:0007131	 reciprocal meiotic recombination
3.74189 GO:0008283	 cell population proliferation
3.73996 GO:1901224	 positive regulation of NIK/NF-kappaB signaling
3.73996 GO:0021766	 hippocampus development
3.73723 GO:0030071	 regulation of mitotic metaphase/anaphase transition
3.73034 GO:0007267	 cell-cell signaling
3.72824 GO:0032691	 negative regulation of interleukin-1 beta production
3.72824 GO:0030511	 positive regulation of transforming growth factor beta receptor signaling pathway
3.71763 GO:0006974	 cellular response to DNA damage stimulus
3.70698 GO:0090399	 replicative senescence
3.70698 GO:0071625	 vocalization behavior
3.70698 GO:0060252	 positive regulation of glial cell proliferation
3.70698 GO:0051145	 smooth muscle cell differentiation
3.70698 GO:0048557	 embryonic digestive tract morphogenesis
3.70698 GO:0048514	 blood vessel morphogenesis
3.70698 GO:0048489	 synaptic vesicle transport
3.70698 GO:0048143	 astrocyte activation
3.70698 GO:0042308	 negative regulation of protein import into nucleus
3.70698 GO:0032469	 endoplasmic reticulum calcium ion homeostasis
3.70698 GO:0030111	 regulation of Wnt signaling pathway
3.70698 GO:0006826	 iron ion transport
3.69381 GO:1905598	 negative regulation of low-density lipoprotein receptor activity
3.69381 GO:1904062	 regulation of monoatomic cation transmembrane transport
3.69381 GO:0090660	 cerebrospinal fluid circulation
3.69381 GO:0060736	 prostate gland growth
3.69381 GO:0060323	 head morphogenesis
3.69381 GO:0060296	 regulation of cilium beat frequency involved in ciliary motility
3.69381 GO:0060039	 pericardium development
3.69381 GO:0048702	 embryonic neurocranium morphogenesis
3.69381 GO:0048539	 bone marrow development
3.69381 GO:0042487	 regulation of odontogenesis of dentin-containing tooth
3.69381 GO:0036336	 dendritic cell migration
3.69381 GO:0036035	 osteoclast development
3.69381 GO:0034384	 high-density lipoprotein particle clearance
3.69381 GO:0034087	 establishment of mitotic sister chromatid cohesion
3.69381 GO:0032494	 response to peptidoglycan
3.69381 GO:0032289	 central nervous system myelin formation
3.69381 GO:0031017	 exocrine pancreas development
3.69381 GO:0030540	 female genitalia development
3.69381 GO:0030200	 heparan sulfate proteoglycan catabolic process
3.69381 GO:0021846	 cell proliferation in forebrain
3.69381 GO:0014883	 transition between fast and slow fiber
3.69381 GO:0010882	 regulation of cardiac muscle contraction by calcium ion signaling
3.69381 GO:0010573	 vascular endothelial growth factor production
3.69381 GO:0010544	 negative regulation of platelet activation
3.69381 GO:0010042	 response to manganese ion
3.69381 GO:0006729	 tetrahydrobiopterin biosynthetic process
3.69381 GO:0003253	 cardiac neural crest cell migration involved in outflow tract morphogenesis
3.69381 GO:0003223	 ventricular compact myocardium morphogenesis
3.69381 GO:0003163	 sinoatrial node development
3.69381 GO:0002446	 neutrophil mediated immunity
3.68938 GO:0071222	 cellular response to lipopolysaccharide
3.68489 GO:0030307	 positive regulation of cell growth
3.67573 GO:0009725	 response to hormone
3.67055 GO:0050900	 leukocyte migration
3.67055 GO:0032727	 positive regulation of interferon-alpha production
3.67055 GO:0007520	 myoblast fusion
3.66523 GO:0060070	 canonical Wnt signaling pathway
3.66399 GO:1904322	 cellular response to forskolin
3.66399 GO:0097623	 potassium ion export across plasma membrane
3.66399 GO:0071482	 cellular response to light stimulus
3.66399 GO:0071404	 cellular response to low-density lipoprotein particle stimulus
3.66399 GO:0071375	 cellular response to peptide hormone stimulus
3.66399 GO:0050910	 detection of mechanical stimulus involved in sensory perception of sound
3.66399 GO:0048546	 digestive tract morphogenesis
3.66399 GO:0045730	 respiratory burst
3.66399 GO:0042417	 dopamine metabolic process
3.66399 GO:0021819	 layer formation in cerebral cortex
3.66399 GO:0019430	 removal of superoxide radicals
3.66399 GO:0014009	 glial cell proliferation
3.66399 GO:0006590	 thyroid hormone generation
3.66399 GO:0003215	 cardiac right ventricle morphogenesis
3.66399 GO:0003181	 atrioventricular valve morphogenesis
3.66299 GO:0071456	 cellular response to hypoxia
3.65322 GO:0006909	 phagocytosis
3.64937 GO:0060612	 adipose tissue development
3.64305 GO:0043029	 T cell homeostasis
3.64305 GO:0035633	 maintenance of blood-brain barrier
3.64305 GO:0007214	 gamma-aminobutyric acid signaling pathway
3.63954 GO:1990535	 neuron projection maintenance
3.63954 GO:0086014	 atrial cardiac muscle cell action potential
3.63954 GO:0086013	 membrane repolarization during cardiac muscle cell action potential
3.63954 GO:0072112	 podocyte differentiation
3.63954 GO:0071374	 cellular response to parathyroid hormone stimulus
3.63954 GO:0070431	 nucleotide-binding oligomerization domain containing 2 signaling pathway
3.63954 GO:0060385	 axonogenesis involved in innervation
3.63954 GO:0060075	 regulation of resting membrane potential
3.63954 GO:0055008	 cardiac muscle tissue morphogenesis
3.63954 GO:0051481	 negative regulation of cytosolic calcium ion concentration
3.63954 GO:0050810	 regulation of steroid biosynthetic process
3.63954 GO:0048048	 embryonic eye morphogenesis
3.63954 GO:0048023	 positive regulation of melanin biosynthetic process
3.63954 GO:0045793	 positive regulation of cell size
3.63954 GO:0035136	 forelimb morphogenesis
3.63954 GO:0034380	 high-density lipoprotein particle assembly
3.63954 GO:0033572	 transferrin transport
3.63954 GO:0033151	 V(D)J recombination
3.63954 GO:0031642	 negative regulation of myelination
3.63954 GO:0009743	 response to carbohydrate
3.63954 GO:0002262	 myeloid cell homeostasis
3.63857 GO:0050680	 negative regulation of epithelial cell proliferation
3.6376 GO:1902176	 negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
3.6376 GO:1902036	 regulation of hematopoietic stem cell differentiation
3.6376 GO:0098696	 regulation of neurotransmitter receptor localization to postsynaptic specialization membrane
3.6376 GO:0086004	 regulation of cardiac muscle cell contraction
3.6376 GO:0071313	 cellular response to caffeine
3.6376 GO:0055062	 phosphate ion homeostasis
3.6376 GO:0046622	 positive regulation of organ growth
3.6376 GO:0045060	 negative thymic T cell selection
3.6376 GO:0045059	 positive thymic T cell selection
3.6376 GO:0043589	 skin morphogenesis
3.6376 GO:0042491	 inner ear auditory receptor cell differentiation
3.6376 GO:0035988	 chondrocyte proliferation
3.6376 GO:0034333	 adherens junction assembly
3.6376 GO:0033539	 fatty acid beta-oxidation using acyl-CoA dehydrogenase
3.6376 GO:0033327	 Leydig cell differentiation
3.6376 GO:0030857	 negative regulation of epithelial cell differentiation
3.6376 GO:0021554	 optic nerve development
